名称,Name,游戏简介,About the game,媒体评价,Reviews
死神菲利克斯,Felix The Reaper,《死神菲利克斯》 是一款具有挑战性的单人解谜游戏。你将扮演费利克斯，他的工作是确保人们死亡。为此，费利克斯必须在暗处工作，操纵命运，使死亡总是最终结果。游戏的核心是操纵阴影，以便费利克斯可以在阴影的掩护下安全地设置他的目标。核心游戏玩法具有一种《杀手GO》式的、《纪念碑谷》式的以及《推箱子》式的简洁性。要成为一名成功的死神，你需要掌握三条规则：规则#1：坚持在阴影中每个关卡都设置在一个基于网格的平台上。网格的方块要么被照亮，要么处于阴影中，费利克斯必须在阴影中完成他的工作。规则#2：控制阴影费利克斯有能力旋转太阳，并移动物体，为他创造新的路径以到达目标。规则#3：确保人们死亡每个关卡的最终目标是设置你的目标，让他们遇到他们的创造者。为了让这个核心游戏体验更加丰富，我们将它包裹在关于死亡、舞蹈、艺术史、爱情和喜剧的多层次叙事中。这样你可以在享受关于死亡的复杂而直接的阴影谜题的同时，沉浸在完整的故事世界中。具有挑战性的单人解谜游戏。担任死神的工作，确保人们死亡。确保待在阴影中。光是生命的领域。不好。控制阴影以到达目标。享受一个关于危险爱情和古怪角色的框架性叙事。与费利克斯一起随着来自10多位独立音乐艺术家的原创配乐起舞。解锁计时挑战和高难度关卡以获得额外挑战。《费利克斯·死神》源于对死亡艺术史的广泛、幽默和怪诞的迷恋。在死亡的文化身份中出现了许多主题，包括《死亡之舞》或《死亡与少女》。我们把这两个主题在《费利克斯·死神》中融合在了一起。对于角色本身和他周围的世界，灵感更加多样化：我们从古老的电视剧《阴阳魔界》、中世纪画家如勃鲁盖尔和博斯以及《探险时光》和宫崎骏的卡通角色中汲取灵感。《费利克斯·死神》的另一个重要灵感来源是制作中的惊人艺术合作者。我们与舞者、长长的音乐家名单和历史学者合作。舞蹈几位舞者为游戏的制作做出了贡献，最终Gunilla Lind和Rapha?l Ferdinand Eder-Kastling即兴创作了最终出现在游戏中的动作。这里是Gunilla为费利克斯做的一个舞蹈动作：还有Raphael做的另一个：音乐当然，有舞蹈主角的游戏需要伟大的音乐——他为什么要跳舞呢？我们以一种让音乐家们做自己的方式设计了游戏。我们希望他们通过个人的艺术表达为游戏增添内容，而不是要求他们成为我们想要他们成为的人。这使得音乐风格多样且奇特。但由于游戏玩法是一种不紧张的解谜游戏，你实际上有时间去欣赏和享受这种古怪，同时进行游戏。艺术史游戏的想法本身源于艺术史。我们实际上是从《死亡之舞》和《死亡与少女》开始的，然后问自己：我们如何制作一款关于这个主题的游戏？经过几次不同的原型制作后，我们最终得到了现在的游戏。在制作过程中，一位历史学者深入研究了跨越10个世纪的死亡艺术史，为他正在撰写的书稿进行研究，每次他发现有趣的内容时都会告诉我们，如果合适的话，我们会尝试将其融入游戏中。游戏中有五篇由这位历史学家S?ren Hein Rasmussen撰写的文章——你可以随着游戏的进展解锁它们。,"Felix The Reaper is a challenging single-player puzzle game . You take on the role as Felix, whose job is to make sure that people die . To do this, Felix must work in the shadows and rearrange faith so that death is always the end result. At its core, the game is about manipulating shadows so that Felix can set up his targets safely covered by the shadows. The core gameplay has a Hitman Go'ish, Monument Valley'ing and Sokoban-like simplicity running through it. There are three rules you have to master to become a successful Reaper: Rule #1: Stick to the shadows Each level is set on a grid-based platform. The squares of the grid are either lit up or in shadow, and Felix has to do his job in the shadows. Rule #2: Control the shadows Felix has the ability to rotate the sun, and move objects, to create new pathways for him to reach his target. Rule #3: Make sure people die The end goal of each level is to set up your targets and have them meet their maker. To add something extra to this core game experience, we wrapped it in deep layers of storytelling, death, dance, art history, love and comedy. That way you get to enjoy a wholesome story world, while boiling your brains on complicatedly straight forward shadow puzzles about Death. Challenging single-player puzzle game . Take on the job as The Reaper and make sure people die . Make sure to stay in the shadows . Light is the domain of life. Not good. Control the shadows to reach your target. Enjoy a framing narrative of dangerous love and peculiar characters. Dance along with Felix to an original soundtrack from 10+ indie music artists. Unlock time trials and hardcore levels for an extra challenge. Felix The Reaper sprang from a fascination with the sprawling, humorous and grotesque art history of Death. Many themes have emerged in the cultural identity of Death, including The Dance of Death or Danse Macabre and Death And The Maiden . We sort of mashed those two themes together in Felix The Reaper. For the character himself and the world around him, the inspiration was more diverse: We took cues from the ancient TV show The Twilight Zon e, medieval painters like Bruegel and Bosch and the cartoon characters of Adventure Time and Hayao Miyazaki . Another important inspiration for Felix The Reaper was the amazing artistic collaborators in the production. We worked with dancers, a long list of music artists and history scholars. The Dance Several dancers contributed to the game's production, and eventually Gunilla Lind and Rapha?l Ferdinand Eder-Kastling improvised the final moves that ended up in the game. Here's Gunilla doing a dance move for Felix: And here's Raphael doing another: The Music Of course a game with a dancing protagonist needs great music—why else would he be dancing? We designed the game in a way that lets the music artists be themselves. We wanted them to add to the game through their personal artistic expression, rather than ask them to be what we want them to be. This made for a varied and strange combination of music. But since the gameplay is a non-stressful puzzler, you actually have time to appreciate and enjoy the weirdness while playing. The Art History The idea for the game itself stems from art history. We actually started with The Danse Macabre and Death and The Maiden as a basis, and then asked ourselves: How can we make a game about this? Eventually and through several different prototypes, we ended up here. Alongside the production, a history scholar was diving into the art history of Death across more than 10 centuries for a book manuscript he is working on, and every time he hit upon something interesting he told us, and we tried to put it into the game if it fit. There are five different articles by this historian S?ren Hein Rasmussen within the game—you can unlock them as you progress.","“Felix the Reaper 脱颖而出,成为今年最好的益智游戏之一。”4/5 – 铁杆玩家 “我非常享受我的旅程 [...]并且绝对推荐你选择这款游戏。9/10 – 游戏空间 “游戏 [...]在其令人费解的演示,甚至是半开玩笑的加载屏幕中都充满了机智和关怀。小拓","“Felix the Reaper stands out as one of the year’s best puzzlers.” 4/5 – Hardcore Gamer “I thoroughly enjoyed my journey [...] and would absolutely recommend that you pick this game up.” 9/10 – Game Space “The game [...] bursts with wit and care in its puzzling, presentation, and even its tongue-in-cheek loading screens.” Kotaku"
Desert of Vice,Desert of Vice,Desert of Vice - 一款恐怖文字冒险游戏。在这款全新的洛夫克拉夫特式冒险游戏中解开沙漠中一个孤立小镇的谜团！键入所需的命令，然后看到作栩栩如生！主要特点： ？一场故事丰富的冒险。?选择依赖的多重结局。?独特的基于文本的控件。?由 @cesque 量身定制的配乐。灵感来自弗朗茨·卡夫卡 （Franz Kafka） 和 H.P. 洛夫克拉夫特 （H.P. Lovecraft） 的作品。,Desert of Vice - a horror text adventure game. Solve the mystery of an isolated town in the middle of a desert in this new Lovecraftian adventure game! Type the desired command and see the action come to life! Key features: ? A story rich adventure. ? Choice dependent multiple endings. ? Unique text based controls. ? Tailor made soundtrack by @cesque. Inspired by the works of Franz Kafka and H.P. Lovecraft.,"“《罪恶沙漠》应有尽有：超现实的场景、诡异的谜团、咖啡和甜甜圈。”Waypoint VICE “对于那些希望迷失在一个领域中的人来说,当他们更深入地研究一个有趣的故事时,他们的理智将受到考验,它提供了一些超凡脱俗的谜团等待解开。”独立游戏","“‘Desert of Vice’ has it all: surreal scenes, a spooky mystery, coffee and donuts.” Waypoint VICE “For those looking to get lost in a realm where their sanity will be tested as they work deeper into an intriguing story, it offers some otherworldly mysteries to unravel.” Indie Games"
Jet Set Knights,Jet Set Knights,当国王不在家时，可以做坏事......这个和平的小王国现在正受到他们的宿敌、来自黑暗世界的生物的攻击......Kitty 公主和王国的所有人现在都处于危险之中！还等什么！从四位勇敢的骑士中挑选一位，面对数百种邪恶生物，不惜一切代价保护公主！Jet Set Knights 是一款老式街机动作平台游戏，其灵感来自黄金时代的经典游戏，如马里奥兄弟、雪人兄弟或最新的 Super Crate Box。如果您喜欢混合了塔防和 RPG 元素的复古 2D 平台游戏，那么 Jet Set Knight 适合您！简单的控制和纯粹的街机动作 从 4 位骑士中进行选择，每位骑士都有自己独特的能力 单人游戏和 2-4 人的本地多人游戏 2 人生存模式。与您的朋友一起击败怪物！三种本地多人游戏模式，包括 Last Man Standing、Domination 或著名的 EGG Tournament 秘密角色 复古风格的手工像素图形 用爱创造 超过 14 种可解锁的武器、法术和特殊文物 12 种独特的敌人 - 包括鬼魂、史莱姆、骷髅、恶魔或巨型雪球！大量隐藏的秘密、惊喜和致命陷阱 升级你的英雄并收集许多道具 与强大的 Boss 战斗！12 个游戏内成就 有趣的小游戏 完整的 Xbox 360 控制器支持 Steam 成就和集换式卡牌 未来的内容更新 超棒的复古风格游戏手册 出色的配乐 当然，还有一位公主需要拯救！=） 注意：2-4 名玩家的多人游戏模式仅限本地模式，不在线模式。,"When the king is not at home, the bad things can be done... The peaceful tiny kingdom is now under attack from their old enemies, beings from the dark world... The princess Kitty and all people of the kingdom are now in danger! Don't wait! Take one of four brave knights, face hundreds of evil creatures and protect the princess at all costs! Jet Set Knights is an old-school arcade action platformer inspired by classics from the golden age such as Mario Bros, Snow Bros or newest Super Crate Box. If You love retro 2D platformers mixed with tower defense and RPG elements, Jet Set Knight is for You! Simple controls and pure arcade action Choose from 4 Knights, each with their own unique abilities Single player and Local multiplayer for 2-4 players 2 Players Survival mode. Defeat monsters together with your friend! Three local multiplayer modes include Last Man Standing, Domination or famous EGG Tournament Secret Characters Retro-styled handcrafted pixel graphics created with love Over 14 unlockable weapons, spells and special artifacts 12 Unique Enemies - Including Ghosts, Slimes, Skeletons, Devils or Giant Snowballs! Plenty of hidden secrets, surprises and deadlies traps Level Up your heroes and collect many power-ups Fight with powerful Bosses! 12 in-game Achievements Funny mini-games Full Xbox 360 controller support Steam Achievements and Trading Cards Future content updates Awesome retro-style game manual Excellent Soundtrack And of course, there's a princess to save! =) Note: The multiplay modes for 2-4 players are local only, not online.","“Jet Set Knights 是老式平台游戏的 PC 回归。这是一场艰难的比赛,但值得一试。我强烈推荐它。（S）teamified “JSK 有坚实的基础,看起来不错,基于波浪的平台游戏很有趣,但它只有几个级别,而且确实存在一些平衡问题。如果你是老式平台游戏的忠实粉丝,我会说去做吧,但如果不是,最好等待销售。El Kemosabe","“Jet Set Knights is the PC return of old school platforming. It’s a difficult game but one that begs to be played. I highly recommend it.” (S)teamified “JSK has a solid foundation, it looks good and the wave-based platforming gameplay is a lot of fun but it only has a few levels and it does have a couple of balancing issues. If you’re a huge fan of old-school platformers I’d say go for it but if not it may be best to wait for a sale.” El Kemosabe"
Magenta Horizon,Magenta Horizon,“翱翔在炼狱上，收割所有敌人。”Magenta Horizo n 是一款快节奏的 2D 动作平台游戏，其游戏玩法的灵感来自奇观战士，其世界的外观和感觉都像一张栩栩如生的前卫摇滚专辑封面。用它庞大、风格、富有表现力的战斗选项来测试你的技能！Spectacle fighter - 完全解锁的近战战斗系统，让您可以按照自己的节奏学习和掌握游戏。快速杀死敌人，获得风格点数，并获得甜蜜的 Triple S 等级。难度选项 - 从 5 个难度中进行选择，这些难度会改变舞台结构和敌人遭遇，并将自己推向极限。富有表现力的战斗 - 杂耍和弹跳敌人，同时攻击和定位自己。可解锁的远程技能拓宽了您的人群控制方法。使用治疗炸弹来支持更具侵略性的游戏风格。利用环境危害。体验完全自由的战斗！个性化的游戏风格 - 尝试独特的项链系统，以进一步满足不同的战斗偏好，让您能够连续连击并最大限度地提高您的杀伤力。巨大的舞台 – 这些大型竞技场旨在测试您在平台、导航和战斗方面的技能。超现实世界 - 各种多样且不稳定的独特敌人和 Boss 名单使游戏玩法保持新鲜感，在游戏过程中展开表面之下更深的传说。你扮演 Gretel，在这个扭曲的炼狱中收割者，被流放了 200 年。在被一个名叫阿奇博尔德的流浪灵魂从石棺中解救出来后，格蕾特寻找来世的目标——引导阿奇博尔德回到她很久以前被放逐的避难所。这段旅程将沿着一条危险的道路，充满了各种渴望灵魂的怪诞恶魔。,"'Soar over Purgatory and reap all the foes.' Magenta Horizon is a fast-paced 2D action platformer, with gameplay inspired by spectacle fighters, and a world designed to look and feel like a living prog-rock album cover. Test your skill with it's vast, stylistic, expressive combat options! Spectacle fighter - Fully unlocked melee combat system that allows you to learn and master the game at your own pace. Slay enemies swiftly, gain style points, and earn that sweet Triple S rank. Difficulty options - Choose from 5 difficulties that change both stage structure and enemy encounters, and push yourself to the limits. Expressive combat – Juggle and pogo enemies to simultaneously attack and position yourself. Unlockable ranged skills widen your crowd-controlling methods. Use healing bombs to favor a more aggressive playstyles. Utilize environmental hazards. Experience the full freedom of combat! Personalized playstyle - Experiment with the unique Necklace system to further cater to differing combat preferences, allowing you to chain combos and maximize your lethality. Gigantic stages – These large arenas are designed to test your skill in platforming, navigation, and combat. Surreal world - A varied and volatile roster of unique enemies and bosses keep the gameplay fresh, with a deeper lore below the surface that unfolds across a playthrough. You play as Gretel , a reaper in this twisted purgatory, exiled for 200 years. After being freed from her sarcophagus by a wandering soul named Archibald - Gretel seeks purpose in her afterlife - guiding Archibald back to the sanctuary she was long ago exiled from. This journey will be along a perilous path, fraught with all manner of grotesque demons starving for souls.","“对于带有探索元素的快节奏动作平台游戏的粉丝,强烈推荐 Magenta Horizon。(...)可用内容提供了大量的可重玩性。GameGrin","“For fans of fast-paced action platformers with exploration elements, Magenta Horizon is highly recommended. (...)the available content offers substantial replayability.” GameGrin"
汉堡地铁模拟器,SubwaySim Hamburg,在新的 SubwaySim Hamburg 中探索汉堡高架铁路风景如画的 U3 线！一个全新的、详细的公共交通模拟在德语领域最美丽的城市之一等待着您。准确再现的车站、生动的路线部分和各种任务当然是必须的。得益于与 Hamburger Hochbahn AG 的合作，在 SubwaySim Hamburg 中全面体验 DT5 电动动车组。驾驶这辆 39.6 米长的车辆，最高时速为 80 公里/小时，穿过汉堡，将乘客安全带到目的地。Unreal Engine 5 让银红色的 DT5 以前所未有的图形保真度闪耀，并以极高的真实感显示 U3 线。通过真实的驾驶体验、动态 AI 以及准确的音景，真实地了解汉堡地铁运营商的日常生活。许多不同的任务和开放世界路线确保了无数小时的乐趣。让自己沉浸在德国第二大城市的繁华环境中，在 U3 环线详细而精心再现的轨道上安全地将乘客从一个车站运送到另一个车站。全长 20.7 公里的路线设有 25 个车站，邀请您踏上穿越自由汉萨同盟城市汉堡的激动人心的旅程。易北爱乐音乐厅、圣保利码头和易北河长廊只是汉堡众多地标中的一小部分，等待您在令人印象深刻的游戏世界中发现。以前所未有的方式体验虚拟汉堡！DT5 双胞胎单元的高度细节再现 在繁忙的环境中汉堡环线 U3 的可爱复制品 直接看到汉堡著名的地标，如米歇尔、易北爱乐音乐厅、圣保利码头和汉堡易北河长廊 驾驶令人兴奋和多样的路线 准确再现所有车站、轨道和信号 得益于虚幻引擎 5 的高质量图形 与 Hamburger Hochbahn AG 合作实现 ...以及更多！,"Explore the picturesque U3 line of Hamburg's elevated railroad in the new SubwaySim Hamburg! A brand-new, detailed public transport simulation awaits you in one of the most beautiful cities in the German language sphere. Accurately recreated stations, lively route sections and varied tasks are of course a must. Experience the DT5 electric multiple unit in full detail in SubwaySim Hamburg thanks to a cooperation with the Hamburger Hochbahn AG. Drive the 39.6 meters long vehicle with a maximum speed of 80 km/h through Hamburg and take your passengers safely to their destination. The Unreal Engine 5 lets the silver-red DT5 shine in never-before-seen graphical fidelity and shows the U3 line on an extremely high level of realism. Get a realistic insight into the daily life of a subway operator in Hamburg with an authentic driving experience, dynamic AI as well as accurate soundscape. Lots of varied tasks and open world routes ensure countless hours of fun. Immerse yourself in the bustling environment of Germany's second largest city and transport your passengers safely from station to station on the detailed and lovingly recreated tracks of the U3 ring line. A 20.7 kilometers long route with 25 stations invites you to an exciting journey through the Free and Hanseatic City of Hamburg. The Elbphilharmonie, St. Pauli Piers and the Elbe promenade are just a few of the numerous landmarks in Hamburg waiting to be discovered by you in the impressive game world. Experience the virtual Hamburg like never before! Highly detailed recreation of the DT5 twin unit Lovely replica of the Hamburg ring line U3 in a busy environment Direct view of famous Hamburg landmarks, such as the Michel, the Elbphilharmonie, the St. Pauli Piers and the Hamburg Elbe Promenade Drive exciting and varied routes Accurate recreation of all stations, tracks and signals High-quality graphics thanks to Unreal Engine 5 Implemented in cooperation with Hamburger Hochbahn AG ...and much more!",GUT – 计算机图片报,GUT – Computer BILD
神秘岛归来,Return to Mysterious Island,加入勇敢的水手和最近离岛漂流的 Mina，探索儒勒·凡尔纳 （Jules Verne） 经典作品中隐藏的神秘岛屿中的秘密。收集岛上以前居民留下的关键文章，并以独特而有趣的方式将它们组合在一起，以维持生命并保持对救援的希望。生存意味着不仅仅是在这片郁郁葱葱的土地上生活，还要抵御困扰的常驻幽灵并解开岛屿最深的秘密！,"Join intrepid sailor and recent island castaway Mina as she explores the hidden secrets within the Jules Verne classic inspired Mysterious Island. Gather key articles left from the island’s previous inhabitants and combine them in unique and interesting ways to stay alive and stay hopeful for rescue. Surviving means more than living off this lush land, but also fending off the haunting resident specter and solving the islands deepest secrets!","“这个游戏与其说是解谜,不如说是要有创造力,看看有什么可能。”87% – 在线游戏结束 “我玩过很多冒险游戏,我从未见过这么多可能性。”87% – 值得玩 “一些冒险游戏设计师将一堆完全抽象且不相关的谜题放在一起,然后收工,[开发者] 花时间把事情做好。”80% – GameSpy","“This game is amazing and you owe it to yourself to download it.” 9.0/10 – IGN “The soundtrack is phenomenal, the world is breathtaking, and the narration is a brilliant new idea for gaming.” 92/100 – PC Gamer “The entire game drips with passionate artistry from the gorgeous watercolor aesthetics to the stirring soundtrack.” 9/10 – Wired"
终极计划,The Masterplan,The Masterplan 是一款屡获殊荣的基于战术小队的抢劫游戏，背景设定在 1970 年代。2D 自上而下的视图为您提供了任何给定时刻发生的事情的概览，让您成为真正的犯罪策划者。具有手绘 2D 图形和有趣的群组控制，让您拥有完全控制权 - 至少在有人打电话给警察并且一切都变得混乱之前。在游戏过程中，您需要在持续的职业模式中通过 20 次独特的手工制作抢劫来抢劫，通过雇用合适的暴徒并确保他们装备得当来管理您的船员。对真正策划者的考验是完美地执行计划，让暴徒活着，并从每次抢劫中带着最大的战利品离开。根据您的喜好，您可以大声、隐身或两者兼而有之。控制平民，将他们击倒，或不留下任何证人。这一切都取决于你，只要确保在警察到来时你不会在那里 - 或者准备好进行一场残酷的交火。如果您渴望在战役之外获得更多内容，您可以在由开发团队构建的 8 张挑战地图中测试您的勇气，这些地图可通过 Steam Workshop 获得。在 Steam 创意工坊的支持下，玩家还可以创建自己的抢劫案！主要特点 悄无声息地抢劫你的目标或开枪射击 - 你的选择（和你的后果） 按需将游戏切换到慢动作，让你有时间计划和下达命令 用独特的威胁系统控制枪口下的平民和警卫 使用各种武器和装备，从手枪和炸弹到霰弹枪和镇静剂枪 携带和隐藏尸体以避免被发现 使用伪装渗透到禁区 禁用电气系统 管理你的船员 解锁并抢劫 20 个独特的抢劫地点，每个地点都允许您选择自己的方法并在沙盒环境中玩耍 发现、计划和执行人类历史上最伟大的抢劫！,"The Masterplan is an award-winning tactical squad-based heist game set in 1970s. The 2D top-down view gives you a great overview of what's happening at any given moment, allowing you to be a real criminal mastermind. Features hand-drawn 2D graphics and fun group control, granting you total control - at least until someone calls the cops and everything goes haywire. During the game you'll need to heist your way through 20 unique hand-crafted heists in a persisting career mode, manage your crew from heist to heist by hiring the right goons and by making sure they are properly equipped. A test of a true mastermind will be to execute the plan to perfection, keep the goons alive, and walk away with the maximum loot from each heist. Depending on your preference, you can hit your targets loud, or in stealth, or a mix of both. Keep the civilians under control, knock them out, or leave no witnesses. It's all up to you, just make sure you won't be there when the cops arrive - or be ready for a brutal firefight. If you are hungry for more content on top of the campaign, you can test your mettle in the 8 challenge maps, built by the development team, available through Steam Workshop. And with Steam Workshop support, players can also create their own heists! Key Features Heist your target silently or go guns blazing - your choice (and your consequences) Switch the game into Slow-Motion on demand, to give you time to plan and to give your orders Control civilians and guards at gunpoint with the unique threaten system Employ a variety of weaponry and gear, from pistols and bombs to shotguns and tranquilizer guns Carry and hide bodies to avoid detection Use disguises to infiltrate forbidden areas Disable electrical systems Manage your crew Unlock and rob 20 unique heist locations, each allowing you to choose your own approach and play in a sandbox environment Discover, plan, and execute the greatest heist in the history of mankind!","“我一直很享受......这是一场激动人心的比赛。Rock Paper Shotgun “总体规划为所有梦想抢劫建筑场所的人提供了一种非常独特和温馨的氛围。”75/100 – 游戏趋势“The Masterplan 对于任何对 GTA V 等令人沮丧的游戏感到幻灭的人来说,都是一款完美的抢劫游戏。它简单的方法让玩家可以自由地以自己的方式体验世界,而真实的声音和视觉效果则增添了一种氛围,真正为美妙的体验画上了句号。9/10 – 我们搞定了","“I've been enjoying myself a great deal...It's a stirring game.” Rock Paper Shotgun “The Masterplan presents a very unique and welcoming vibe for all who have dreamed of robbing a building establishment.” 75/100 – Gaming Trend “The Masterplan is the perfect heist game for anyone becoming disillusioned by the frustrating likes of GTA V. Its simple approach gives players the freedom to take on the world their own way, and the authentic sound and visuals add an atmosphere that really caps off a great experience.” 9/10 – We Got This Covered"
最好的一天,Best Day Ever,Best Day Ever 是一款叙事游戏，您将在其中扮演 4 个角色。您的目标？管理他们的日常生活，帮助他们克服困难，创造他们有史以来最美好的一天。体验 4 个丰富的故事 在沃特斯城，画面并不全是光明的。Emma、Jordan、Paul 和 Jenny 不会说别的：他们每天都面临许多不公正，需要您的帮助来面对这些考验。通过与他们一起做出正确的决定来了解他们并实现他们的目标。你的选择会产生真正的影响 每个故事都有多个结局。正是你的决定将改变角色所经历的事件，并追踪他们通往有史以来最美好的一天的道路。如果这些看似独立的故事最终被联系在一起呢？可爱的角色 Emma Nadger ： 食品公司 Kraker 的经理，Emma 提供高质量的工作，而且不计算她的时间。然而，她经常收到一些同龄人的性别歧视言论，再也受不了了。乔丹·尼尔 ： 乔丹是沃特斯大学篮球队的关键球员。该队已获得参加大型大学锦标赛的资格，这对队员来说是一个千载难逢的机会。他的搭档认为这是乔丹最终将他介绍给队友的绝佳机会。珍妮 ： 作为著名的沃特斯大学的学生，珍妮的成绩一直很好。然而，在期中考试前几周，她无法再专注于学习，并且对上课感到焦虑。保罗·希蒂克 ： 保罗是沃特斯市长选举的 5 名候选人之一。他知道他的城市是许多不公正的地方，并打算捍卫自己的候选人资格，以大规模改变现状。与亲戚保持联系 Best Day Ever 拥有数十个配角，加深了许多友谊、爱情和竞争的关系。要与 Emma、Jordan、Jenny 和 Paul 的朋友保持联系，手机是您最好的盟友。您可以发送和接收电话、消息或关注重要约会。,"Best Day Ever is a narrative game in which you will play 4 characters. Your goal? Manage their daily life and help them overcome their difficulties to create their best day ever. EXPERIENCE 4 RICH STORIES In Waters City, the picture is not all bright. Emma, Jordan, Paul and Jenny won't say otherwise: they face many injustices on a daily basis and need your help to face these trials. Get to know them and achieve their goals by making good decisions with them. YOUR CHOICES HAVE A REAL IMPACT Each story has multiple endings. It is YOUR decisions that will change the events experienced by the characters and trace their path to their best day ever. And what if these seemingly independent stories were finally linked together? ENDEARING CHARACTERS Emma Nadger : Manager in the food company KraKer, Emma provides quality work and doesn't count her hours. However, she regularly receives sexist remarks from some of her peers and can no longer stand it. Jordan Neal : Jordan is a key player in the Waters University basketball team. The team has qualified for the big university tournament, a once-in-a-lifetime opportunity for the team members. His partner feels this is the perfect opportunity for Jordan to finally introduce him to his teammates. Jenny : As a student at the prestigious Waters University, Jenny has always had good grades. However, a few weeks before her midterms, she can no longer focus on her studies and is anxious about getting to class. Paul Hitik : Paul is one of the 5 candidates in the Waters mayoral election. He is aware that his city is the place of many injustices and intends to defend his candidacy to change things on a large scale. KEEP IN TOUCH WITH THEIR RELATIVES With dozens of side characters, Best Day Ever deepens many relationships of friendship, love and rivalry. To stay in touch with Emma, Jordan, Jenny and Paul's friends, the phone is your best ally. You can send and receive calls, messages or keep an eye on important appointments.","“一个值得立即体验的小独立瑰宝。”7.5/10 – ActuGaming “无论是处理同性恋恐惧症、校园欺凌、性别歧视、政治阴谋还是其他一些问题,这款游戏总是能击中目标。”像素帖子","“A small indie gem worth experiencing without delay.” 7.5/10 – ActuGaming “Whether it deals with homophobia, school bullying, sexism, political scheming and a few others, the game always hits the mark.” The Pixel Post"
堡垒,Bastion,Bastion 是一种动作角色扮演体验，它重新定义了游戏中的故事讲述，反应式解说员会标记您的一举一动。探索 40 多个郁郁葱葱的手绘环境，发现 Calamity 的秘密，这是一场将世界粉碎的超现实灾难。挥舞着庞大的可升级武器库，与适应新栖息地的野兽战斗。完成主线故事以解锁 New Game Plus 模式并继续您的旅程！,"Bastion is an action role-playing experience that redefines storytelling in games, with a reactive narrator who marks your every move. Explore more than 40 lush hand-painted environments as you discover the secrets of the Calamity, a surreal catastrophe that shattered the world to pieces. Wield a huge arsenal of upgradeable weapons and battle savage beasts adapted to their new habitat. Finish the main story to unlock the New Game Plus mode and continue your journey!","“这个游戏太棒了,你应该自己下载它。”9.0/10 – IGN “配乐是非凡的,世界令人叹为观止,旁白是游戏的一个绝妙的新想法。”92/100 – PC Gamer“从华丽的水彩美学到激动人心的配乐,整个游戏充满了激情的艺术性。”9/10 – 连线","“This game is amazing and you owe it to yourself to download it.” 9.0/10 – IGN “The soundtrack is phenomenal, the world is breathtaking, and the narration is a brilliant new idea for gaming.” 92/100 – PC Gamer “The entire game drips with passionate artistry from the gorgeous watercolor aesthetics to the stirring soundtrack.” 9/10 – Wired"
颤栗,Shiver,Shiver 是 Kowai Sugoi Studios 推出的一款美丽而令人毛骨悚然的点击式恐怖冒险游戏。当您探索最近关闭的 Windy Oaks 国家公园时，您必须依靠自己的智慧和勇气来征服挑战并寻求救援。在一个迷人的小时里，您将尝试解开公园的神秘面纱，并在身体完好无损的情况下逃脱。在 1990 年代初期，在手机和互联网出现之前的时代，您发现自己要去偏远的养老院看望年迈的父亲。在路上，你发现自己被困在奇怪地废弃的风橡树国家公园（Windy Oaks National Park）：一个新公园，建立在萨姆斯通矿业公司（Samstone Mining Company）捐赠的土地上，这是在一场灾难性的天坑事故后的一种善意行为。利用你的智慧和坚韧，你必须想办法在公园吞噬你之前联系帮助并逃脱。,"Shiver is a beautiful and chilling point-and-click horror adventure from Kowai Sugoi Studios . As you explore the recently closed Windy Oaks National Park, you must rely on your wits and bravery to conquer challenges and search for rescue. Spanning the course of one captivating hour, you will attempt to unravel the mysteries of the park and escape with your body intact. In the early 1990's, in a time before mobile phones and the Internet, you find yourself travelling to visit your aging father in a remote retirement home. On the way, you find yourself stranded in the strangely abandoned Windy Oaks National Park: a new park founded on land donated by the Samstone Mining Company as an act of goodwill after a catastrophic sinkhole accident. Using your wits and tenacity, you must figure out a way to contact help and escape, before the park consumes you.","“一个非常好的恐怖点击式冒险,我肯定会错过。”害怕玩 “Shiver 是一款制作精良但简短的游戏。我在 64 分钟内完成了这个小小的经历 [...],一个小小的令人毛骨悚然的享受。依靠恐怖",“A very good Horror Point-n-Click adventure that I would certainly have missed.” Scared to Play “Shiver is a well-made but short game. I completed this little experience in 64 minutes [...] a little creepy treat.” Rely on Horror
